# Converting from ezjail to iocage

ezjail_admin                    iocage_admin
/usr/local/bin/ezjail-admin     /usr/local/sbin/iocage
delete -fw                      destroy -f
ezjail-admin                    iocage
ezjail-name                     iocage-tag
ezjail_name                     iocage_tag
_name                           _tag
name                            tag
ezjail                          iocage
ez-                             ioc-
EzjailError                     IocageError
EzjailProxyInstance             IocageProxyInstance
/usr/jails/%s                   /iocage/jails/%s/root

# Not sure

flavour                         template / package
create
console -e                      ?
